Island Ordeal	Killing Harmony	Danganronpa	https://youtu.be/XDXyKXZej0U	142
School Ordeal	Killing Harmony	Danganronpa	https://youtu.be/zvi176Yj758	143
Trial End	Killing Harmony	Danganronpa	https://youtu.be/sbtYgXjEhZY	144
Prologue ~ The Beginning of the Night	Ghost Trick	Ghost Trick	https://youtu.be/HVBDt3VRDfA	145
Main Theme	Ghost Trick	Ghost Trick	https://youtu.be/IQ3khsva6E8	146
4 Minutes Before Death	Ghost Trick	Ghost Trick	https://youtu.be/r3C-FrmHn44	147
Fate Updated	Ghost Trick	Ghost Trick	https://youtu.be/8hw63HniDWE	148
Countdown	Ghost Trick	Ghost Trick	https://youtu.be/bXXrpgpWJQY	149
The World of the Dead	Ghost Trick	Ghost Trick	https://youtu.be/x2CklIRwJvI	150
Lynne ~ A Targeted Redhead	Ghost Trick	Ghost Trick	https://youtu.be/w6xMvGbwT7I	151
Ray ~ A Ray of Light	Ghost Trick	Ghost Trick	https://youtu.be/31jJ-pmGuO0	152
Awakening	Ghost Trick	Ghost Trick	https://youtu.be/Ybi0-OTvoXM	153
Welcome to the Salon	Ghost Trick	Ghost Trick	https://youtu.be/PGn9958vneI	154
Complication	Ghost Trick	Ghost Trick	https://youtu.be/OrxEVT0wHMc	155
Missile ~ A Courageous Little Animal	Ghost Trick	Ghost Trick	https://youtu.be/TWd3JA6cpY0	156
Cabanela ~ A White Lovely Lanky Man	Ghost Trick	Ghost Trick	https://youtu.be/eeVXa4cU21g	157
Trauma	Ghost Trick	Ghost Trick	https://youtu.be/3kwKogno3dk	158
Jingle	Ghost Trick	Ghost Trick	https://youtu.be/EwiF0n073zE	159
4 Minutes Before Death ~ Variation	Ghost Trick	Ghost Trick	https://youtu.be/L4X_DMcjYaI	160
Fate Updated ~ Variation	Ghost Trick	Ghost Trick	https://youtu.be/h--eFUupy-8	161
Beauty and Dandy	Ghost Trick	Ghost Trick	https://youtu.be/3zrqU53d0IA	162
Deadline	Ghost Trick	Ghost Trick	https://youtu.be/RkmcpQjZWVA	163
Chained Past	Ghost Trick	Ghost Trick	https://youtu.be/MgWCNGpwIYs	164
Informing About the Parting	Ghost Trick	Ghost Trick	https://youtu.be/VUGlC8WOQt0	165
The Last Desperate Struggle	Ghost Trick	Ghost Trick	https://youtu.be/mFXOJ1mkKtI	166
