Karate Man (Japanese),https://youtu.be/iy-obB3oLsg,Rhythm Heaven
Remix 7,https://youtu.be/KI6jFsrs-28,Rhythm Heaven
Night Walk (Japanese),https://youtu.be/J05QRBGZ1sU,Rhythm Heaven
Character Cast,https://youtu.be/gXY5Mv4rqIk,Rhythm Heaven
Game Select 2,https://youtu.be/9gmk3IPraj8,Rhythm Heaven
Built to Scale 2,https://youtu.be/xOzgsI3wlwo,Rhythm Heaven
Remix 8 (Japanese),https://youtu.be/dGpu0HZkEBg,Rhythm Heaven
Cheer Readers 2,https://youtu.be/sStZ-s85Cw4,Rhythm Heaven
Remix 9 (Japanese),https://youtu.be/ORVMXQMVJxM,Rhythm Heaven
Packing Pests 2,https://youtu.be/YVzxJpxmiAA,Rhythm Heaven
Karate Man 2 (Japanese),https://youtu.be/oCinvV0oooE,Rhythm Heaven
Remix 10,https://youtu.be/8tbDJYUc0z0,Rhythm Heaven
DANGANRONPA,https://youtu.be/JeitvjG-dgI,Danganronpa
Beautiful Days,https://youtu.be/m5K9CIf-XoQ,Danganronpa
Beautiful Dead,https://youtu.be/3WZb20NinCs,Danganronpa
Class Trial (Dawn Edition),https://youtu.be/5FbB_obzUNA,Danganronpa
Mr. Monokuma's Tutoring,https://youtu.be/zpkl30bTHhw,Danganronpa
BOX 15,https://youtu.be/xOpHT6gZ0Rs,Danganronpa
DISTRUST,https://youtu.be/7Sbcm-Hb8Sk,Danganronpa
Desire for Execution,https://youtu.be/FHlKfNSiM2c,Danganronpa
Trial Underground,https://youtu.be/tJlAxq2WcVI,Danganronpa
M.T.B.,https://youtu.be/AYsaZnce3ig,Danganronpa
Discussion -BREAK-,https://youtu.be/NJ7g-RQQYzg,Danganronpa
Despair Pollution Noise Music,https://youtu.be/9hn3gBV-nYc,Danganronpa
SUPER M.T.B.,https://youtu.be/fsqfRUCSELU,Danganronpa
Welcome to Despair Academy,https://youtu.be/pvXUPQDvpd4,Danganronpa
Beautiful Morning,https://youtu.be/-fxT8Ev1AvU,Danganronpa
Climax Reasoning,https://youtu.be/e0dZnWkzv2U,Danganronpa
Mr. Monokuma's Lesson,https://youtu.be/ELfxtdEakhk,Danganronpa
SUPER FINAL M.T.B.,https://youtu.be/kIwKwtYebcE,Danganronpa
BOX 16,https://youtu.be/p4z_RMGB414,Danganronpa
Discussion -HEAT UP-,https://youtu.be/HgOs-J9Pytc,Danganronpa
Flashing Anagram,https://youtu.be/cTrVBMsVPb0,Danganronpa
New World Order,https://youtu.be/m3EHCTP3jic,Danganronpa
"Goodbye, Despair Academy",https://youtu.be/nMTloVZ-QLo,Danganronpa
Beautiful Ruin,https://youtu.be/P-fMDaPFXME,Danganronpa
Beautiful Days [Piano Arrangement],https://youtu.be/mESVTvnIVnw,Danganronpa
Ms. Monomi's Practice Lesson,https://youtu.be/emEg0zGS7KY,Danganronpa
Ikoroshia,https://youtu.be/gCfpmW6s37U,Danganronpa
Tropical Despair,https://youtu.be/zlCho8m4Zyc,Danganronpa
Third Island Theme,https://youtu.be/dtsSngpkwKc,Danganronpa
Welcome DANGAN IsLand!! [OP Ver],https://youtu.be/5kHtDxCMa64,Danganronpa
P.T.A.,https://youtu.be/hSdokoS408s,Danganronpa
A Dead End to the Ocean's Aroma,https://youtu.be/uoh-Z_TS_xE,Danganronpa
Objection -CROSS SWORD-,https://youtu.be/mymjF4AZJrg,Danganronpa
Suguikoroshia,https://youtu.be/-tq5xapLVp0,Danganronpa
Class Trial - Future Part,https://youtu.be/5F26Vt1Q2-E,Danganronpa
ANAGRAM.NET,https://youtu.be/RK6R94HMgpM,Danganronpa
HYPER P.T.A.,https://youtu.be/PnbAZMQ-jq0,Danganronpa
DIVE DRIVE,https://youtu.be/HP7r1TVINsg,Danganronpa
HYPER ULTRA P.T.A.,https://youtu.be/AyFrgi3emaM,Danganronpa
Fifth Island Theme,https://youtu.be/PNY4F9im83k,Danganronpa
Alter Ego of the New World,https://youtu.be/mxc-QIS5gbs,Danganronpa
Ekoroshia,https://youtu.be/xjbgj2V6-o0,Danganronpa
Let Us Sing of a Hollow Victory,https://youtu.be/yLaiZTOGTkA,Danganronpa
The Day Before the Future,https://youtu.be/4ScJ__5-cso,Danganronpa
Searching the Twilight,https://youtu.be/jzLJwzHI14s,Danganronpa
EXISAL TRIBE,https://youtu.be/ruP_SAaxiNQ,Danganronpa
Beautiful Lie,https://youtu.be/-SnTpTE575M,Danganronpa
Anagram. NEW,https://youtu.be/fv-fSZZ_iT0,Danganronpa
Living in a Lazy Parallel World,https://youtu.be/H3klCeCLwww,Danganronpa
Rise of the Ultimates,https://youtu.be/cQbDAuVbDZY,Danganronpa
"Rise and Shine, Ursine!",https://youtu.be/KOI5D928mvk,Danganronpa
Becoming Friends,https://youtu.be/2bxYMupB5q0,Danganronpa
Nightmare in the Locker,https://youtu.be/xD2XHF-XGY4,Danganronpa
NEW A.A. (Ch. 1),https://youtu.be/5KfnfvyPRtk,Danganronpa
Despair Searching,https://youtu.be/FZLYRkiHk5I,Danganronpa
Cool Morning,https://youtu.be/F7dhu57yeYU,Danganronpa
Death Road of Despair,https://youtu.be/Ih0Tt10uFKI,Danganronpa
PSYCHE TAXI,https://youtu.be/BNWw4Z9pB04,Danganronpa
Darkness Time,https://youtu.be/gbZhzgIh-Ik,Danganronpa
Heaven of Almost Hell,https://youtu.be/_F3p9pksJDs,Danganronpa
Clair de Lune,https://youtu.be/nhnt4mLG92Y,Danganronpa
"Spirit, Praise, and Beauty",https://youtu.be/zwsGdXWv444,Danganronpa
DANGANVEGAS,https://youtu.be/t-9yzPWIoLM,Danganronpa
Mind Mine,https://youtu.be/2HNmTL-iju0,Danganronpa
Talent Selection,https://youtu.be/cENv5uK8qLI,Danganronpa
Hope of Summer,https://youtu.be/9jRL5WYhSeM,Danganronpa
Hope of Spring,https://youtu.be/qzdP2cXtpT4,Danganronpa
Moon on the Water,https://youtu.be/c3XeMcD154c,Danganronpa
Wonderful Story,https://youtu.be/Z3hAsD8M4iM,Danganronpa
Let's Start the Killing Game,https://youtu.be/apcEHrIMQN0,Danganronpa
HYPER NEW A.A. (Ch. 1),https://youtu.be/zaPGdlLgaEU,Danganronpa
Closing Argument V3,https://youtu.be/bfM8rAq3RcA,Danganronpa
Climactic Re-Enactment V3,https://youtu.be/en8PD91y0x8,Danganronpa
Danganronpa V3 (Full Version),https://youtu.be/Ewm8o6eEuDI,Danganronpa
V3 Gallery Music,https://youtu.be/vTl_1FeyMSQ,Danganronpa
